prediccion,test
16.920797,17.07
16.922733,17.071
16.925568,17.073
16.92755,17.075
16.929483,17.076
16.931414,17.077
16.93425,17.078
16.93623,17.079
16.938166,17.08
16.941002,17.081
16.942984,17.082
16.944918,17.083
16.947756,17.084
16.949736,17.085
16.951672,17.086
16.954512,17.087
16.956491,17.088
16.959337,17.089
16.961315,17.09
16.963251,17.091
16.966093,17.092
16.968071,17.093
16.970007,17.094
16.972849,17.095
16.974827,17.096
16.976763,17.099
16.979607,17.103
16.981585,17.106
16.984434,17.11
16.986412,17.113
16.989262,17.117
16.992153,17.12
16.995049,17.124
16.99703,17.127
16.999884,17.131
17.002775,17.134
17.006588,17.138
17.009531,17.141
17.012432,17.144
17.015331,17.148
17.019146,17.151
17.022087,17.155
17.02499,17.158
17.028809,17.162
17.031748,17.165
17.035572,17.171
17.038511,17.176
17.042336,17.181
17.046198,17.186
17.04914,17.192
17.052046,17.197
17.055868,17.202
17.058807,17.207
17.06171,17.213
17.065535,17.218
17.068472,17.223
17.071377,17.228
17.074278,17.234
17.077177,17.239
17.080078,17.244
17.08298,17.249
17.08588,17.255
17.08878,17.26
17.09168,17.265
17.094582,17.27
17.097483,17.273
17.100384,17.276
17.103285,17.278
17.106186,17.281
17.109089,17.283
17.11199,17.286
17.114891,17.288
17.117794,17.291
17.120695,17.294
17.123598,17.296
17.1265,17.299
17.130333,17.301
17.133268,17.304
17.136173,17.306
17.140009,17.309
17.142944,17.312
17.14585,17.314
17.149687,17.317
17.15262,17.319
17.155527,17.322
17.15843,17.326
17.161335,17.33
17.164238,17.333
17.167141,17.337
17.170046,17.341
17.172949,17.345
17.175854,17.349
17.178757,17.353
17.180725,17.356
17.183601,17.36
17.185564,17.364
17.188442,17.368
17.190405,17.372
17.193283,17.376
17.195246,17.379
17.198124,17.383
17.200087,17.387
17.202965,17.391
17.204927,17.395
17.207808,17.399
17.20977,17.403
17.212648,17.408
17.215551,17.413
17.217516,17.417
17.220396,17.422
17.223299,17.427
17.226206,17.431
17.228168,17.436
17.23105,17.441
17.233955,17.445
17.23686,17.45
17.239767,17.455
17.242672,17.459
17.245579,17.464
17.248486,17.469
17.251392,17.473
17.255243,17.478
17.258173,17.483
17.261082,17.487
17.263988,17.492
17.266895,17.498
17.270748,17.504
17.273678,17.511
17.276587,17.517
17.280441,17.523
17.28337,17.529
17.287226,17.536
17.290154,17.542
17.294012,17.548
17.296938,17.554
17.299849,17.561
17.303707,17.567
17.306633,17.573
17.309544,17.579
17.312452,17.586
17.31631,17.592
17.319237,17.598
17.322147,17.604
17.325056,17.611
17.328917,17.617
17.331842,17.62
17.335705,17.624
17.33863,17.627
17.341541,17.631
17.345404,17.634
17.34833,17.638
17.35124,17.641
17.35415,17.645
17.35706,17.648
17.360924,17.652
17.363848,17.655
17.36676,17.659
17.36967,17.663
17.372581,17.666
17.37549,17.67
17.3784,17.673
17.381311,17.677
17.384222,17.68
17.387133,17.684
17.391,17.687
17.393923,17.689
17.397795,17.692
17.400717,17.694
17.404587,17.697
17.408468,17.699
17.41139,17.701
17.415262,17.704
17.418184,17.706
17.421097,17.709
17.424969,17.711
17.42789,17.713
17.431765,17.716
17.434685,17.718
17.437597,17.72
17.44051,17.723
17.444384,17.725
17.447304,17.728
17.450218,17.73
17.454092,17.732
17.457012,17.735
17.46089,17.738
17.463808,17.741
17.467686,17.745
17.470606,17.748
17.474483,17.751
17.477402,17.755
17.481281,17.758
17.4842,17.762
17.48808,17.765
17.490997,17.768
17.494877,17.772
17.498762,17.775
17.502647,17.778
17.505566,17.782
17.509447,17.785
17.5143,17.788
17.518187,17.792
17.522074,17.795
17.52596,17.798
17.52888,17.802
17.532763,17.806
17.537615,17.81
17.541504,17.814
17.545391,17.818
17.549278,17.822
17.553165,17.826
17.557053,17.83
17.560938,17.834
17.565796,17.838
17.569683,17.842
17.573572,17.846
17.57843,17.85
17.582317,17.854
17.58718,17.858
17.591064,17.862
17.595926,17.866
17.599813,17.87
17.604675,17.874
17.608562,17.878
17.613424,17.882
17.617311,17.889
17.622175,17.896
17.62606,17.903
17.630924,17.91
17.634811,17.917
17.6387,17.924
17.64259,17.93
17.647455,17.937
17.65134,17.944
17.65523,17.951
17.659119,17.958
17.66301,17.965
17.665922,17.971
17.669817,17.978
17.673706,17.985
17.677597,17.992
17.68051,17.999
17.684404,18.006
17.688295,18.013
17.691206,18.019
17.695103,18.025
17.698994,18.03
17.702885,18.035
17.706776,18.04
17.710665,18.046
17.714556,18.051
17.718447,18.056
17.722338,18.061
17.72623,18.067
17.730122,18.072
17.734013,18.077
17.737904,18.082
17.741795,18.088
17.745687,18.093
17.749578,18.098
17.75347,18.104
17.757362,18.109
17.761253,18.114
17.765146,18.119
17.76904,18.125
17.771948,18.126
17.77585,18.128
17.779741,18.129
17.783634,18.131
17.787527,18.132
17.79142,18.134
17.795313,18.136
17.799204,18.137
17.802114,18.139
17.807001,18.14
17.810883,18.142
17.814775,18.143
17.818668,18.145
17.822563,18.147
17.826456,18.148
17.830349,18.15
17.835228,18.151
17.83911,18.153
17.843002,18.154
17.846895,18.156
17.85079,18.162
17.854683,18.167
17.858578,18.173
17.86247,18.178
17.866365,18.184
17.870258,18.189
17.874153,18.194
17.878048,18.2
17.88194,18.205
17.885836,18.211
17.88973,18.216
17.893623,18.222
17.897518,18.227
17.901413,18.233
17.90432,18.238
17.908228,18.244
17.912123,18.249
17.916018,18.255
17.919912,18.26
17.92282,18.266
17.92673,18.268
17.930624,18.27
17.934519,18.273
17.938414,18.275
17.942308,18.277
17.946203,18.279
17.950098,18.281
17.953995,18.284
17.9569,18.286
17.959822,18.288
17.962744,18.29
17.966654,18.293
17.96956,18.295
17.972483,18.297
17.975403,18.299
17.978325,18.302
17.981247,18.304
17.984169,18.306
17.98709,18.308
17.990011,18.31
17.992933,18.31
17.994865,18.31
17.997803,18.309
18.000725,18.309
18.003647,18.309
18.006569,18.308
18.009491,18.308
18.011421,18.308
18.01436,18.307
18.017282,18.307
18.019215,18.306
18.022152,18.306
18.025074,18.306
18.027996,18.305
18.030918,18.305
18.03384,18.305
18.036762,18.304
18.038694,18.304
18.041634,18.304
18.044556,18.303
18.047478,18.306
18.0504,18.309
18.053322,18.312
18.055252,18.314
18.058193,18.317
18.061115,18.32
18.064037,18.323
18.06696,18.325
18.06889,18.328
18.07183,18.331
18.074753,18.334
18.076683,18.337
18.079622,18.339
18.081554,18.342
18.084494,18.345
18.086424,18.348
18.089365,18.35
18.091295,18.353
18.094236,18.356
18.096167,18.359
18.099106,18.362
18.10203,18.365
18.10396,18.368
18.105907,18.37
18.108849,18.373
18.110779,18.376
18.11372,18.379
18.11565,18.382
18.118591,18.385
18.120522,18.388
18.12247,18.391
18.12541,18.394
18.127342,18.397
18.12929,18.399
18.13223,18.402
18.134161,18.405
18.13611,18.408
18.138058,18.411
18.140007,18.414
18.141954,18.417
18.143904,18.419
18.145853,18.42
18.1478,18.422
18.14975,18.424
18.150705,18.426
18.152672,18.427
18.154621,18.429
18.155577,18.431
18.157543,18.433
18.159492,18.434
18.16144,18.436
18.162397,18.438
18.164364,18.44
18.16532,18.442
18.166294,18.443
18.16826,18.445
18.169218,18.447
18.171185,18.449
18.17214,18.45
18.174107,18.452
18.175062,18.454
18.17703,18.455
18.177986,18.457
18.179953,18.459
18.180908,18.46
18.182875,18.462
18.183832,18.464
18.185799,18.465
18.187748,18.467
18.188704,18.469
18.19067,18.47
18.19262,18.472
18.193575,18.474
18.195541,18.475
18.196499,18.477
18.198465,18.478
18.200415,18.48
18.20137,18.482
18.202345,18.483
18.204311,18.485
18.205267,18.482
18.207235,18.48
18.20819,18.477
18.210157,18.475
18.211115,18.472
18.213081,18.47
18.214037,18.467
18.215012,18.465
18.215986,18.462
18.217953,18.459
18.218908,18.457
18.219883,18.454
18.220858,18.452
18.222824,18.449
18.223782,18.447
18.224754,18.444
18.225729,18.442
18.226704,18.439
18.227678,18.436
18.228653,18.434
18.229628,18.434
18.230602,18.433
18.231575,18.433
18.23255,18.433
18.233524,18.432
18.233507,18.432
18.234499,18.432
18.235474,18.431
18.235455,18.431
18.236448,18.431
18.237423,18.43
18.237404,18.43
18.238396,18.43
18.238379,18.429
18.238379,18.429
18.23937,18.429
18.239353,18.428
18.239353,18.428
18.239353,18.428
18.240345,18.427
18.240328,18.425
18.240328,18.422
18.24132,18.419
18.241302,18.416
18.242294,18.413
18.242275,18.41
18.242275,18.407
18.243269,18.404
18.244244,18.402
18.244225,18.399
18.245216,18.396
18.246191,18.393
18.246174,18.39
18.247166,18.387
18.24814,18.384
18.248123,18.382
18.249115,18.379
18.249098,18.376
18.249096,18.373
18.25009,18.37
18.25007,18.37
18.25007,18.369
18.25007,18.369
18.251064,18.369
18.251045,18.368
18.251045,18.368
18.251045,18.367
18.251045,18.367
18.251045,18.367
18.251045,18.366
18.251045,18.366
18.251045,18.365
18.251045,18.365
18.251045,18.365
18.250053,18.364
18.25007,18.364
18.25007,18.364
18.25007,18.363
18.25007,18.363
18.25007,18.362
18.25007,18.363
18.25007,18.363
18.25007,18.364
18.249079,18.364
18.249096,18.364
18.249098,18.365
18.249096,18.365
18.249096,18.366
18.249096,18.366
18.248104,18.366
18.248121,18.367
18.248123,18.367
18.24713,18.368
18.247149,18.368
18.246155,18.368
18.246174,18.369
18.245182,18.369
18.2452,18.369
18.244207,18.37
18.243233,18.37
18.24325,18.369
18.242258,18.367
18.241283,18.365
18.240309,18.364
18.239334,18.362
18.239353,18.36
18.23836,18.359
18.237385,18.357
18.236412,18.355
18.235437,18.354
18.234463,18.352
18.233488,18.35
18.232513,18.349
18.230547,18.347
18.230583,18.345
18.229591,18.344
18.228617,18.342
18.227642,18.34
18.22766,18.339
18.226667,18.337
18.225693,18.337
18.224718,18.336
18.223743,18.336
18.222769,18.335
18.221796,18.335
18.220821,18.335
18.219847,18.334
18.21788,18.334
18.216923,18.333
18.214956,18.333
18.214,18.333
18.212034,18.332
18.211077,18.332
18.20911,18.331
18.20716,18.331
18.206205,18.331
18.204239,18.33
18.203281,18.33
18.201315,18.329
18.199366,18.329
18.19841,18.328
18.196444,18.326
18.194494,18.324
18.193539,18.323
18.191572,18.321
18.189623,18.32
18.187674,18.318
18.185726,18.317
18.183777,18.315
18.181828,18.313
18.178886,18.312
18.176956,18.31
18.175009,18.309
18.17306,18.307
18.17111,18.306
18.169163,18.304
18.167213,18.303
18.165266,18.301
18.163317,18.299
18.161367,18.298
18.15942,18.298
18.15747,18.298
18.15453,18.298
18.1526,18.298
18.150652,18.298
18.14771,18.299
18.14578,18.299
18.14284,18.299
18.14091,18.299
18.137968,18.299
18.136038,18.299
18.133097,18.299
18.131166,18.299
18.128225,18.299
18.125303,18.3
18.122381,18.3
18.12045,18.3
18.11751,18.3
18.114588,18.3
18.112656,18.3
18.109716,18.298
18.106794,18.296
18.10387,18.294
18.100948,18.292
18.098026,18.29
18.095104,18.288
18.092182,18.286
18.08926,18.284
18.085346,18.282
18.082441,18.28
18.07952,18.278
18.076597,18.276
18.072683,18.274
18.069778,18.272
18.066856,18.27
18.063934,18.267
18.061012,18.265
18.05809,18.263
18.054176,18.261
18.051271,18.259
18.04835,18.256
18.045427,18.252
18.042505,18.248
18.039583,18.244
18.036661,18.24
18.033741,18.237
18.031809,18.233
18.02887,18.229
18.02595,18.225
18.024017,18.222
18.02108,18.218
18.018158,18.214
18.016226,18.21
18.014278,18.206
18.011341,18.203
18.009409,18.199
18.006472,18.195
18.00355,18.191
18.00162,18.188
17.99868,18.184
17.99675,18.178
17.99381,18.171
17.99089,18.165
17.988958,18.159
17.986021,18.153
17.9831,18.147
17.980179,18.141
17.978247,18.134
17.97531,18.128
17.97239,18.122
17.969467,18.116
17.967535,18.11
17.9646,18.104
17.961678,18.097
17.959745,18.091
17.95681,18.085
17.953888,18.079
17.951958,18.073
17.94902,18.066
17.947088,18.06
17.944153,18.055
17.94222,18.049
17.940273,18.043
17.937338,18.038
17.935406,18.032
17.932468,18.027
17.930536,18.021
17.9276,18.015
17.925669,18.01
17.923721,18.004
17.920788,17.998
17.918854,17.993
17.916906,17.987
17.913973,17.982
17.91204,17.976
17.910093,17.97
17.907158,17.965
17.905226,17.959
17.903278,17.953
17.900345,17.948
17.89841,17.944
17.896463,17.941
17.894518,17.937
17.891584,17.934
17.88965,17.93
17.887703,17.927
17.885757,17.923
17.88381,17.92
17.881863,17.916
17.879917,17.912
17.87797,17.909
17.876022,17.905
17.874077,17.902
17.87213,17.898
17.870184,17.895
17.868237,17.891
17.86629,17.888
17.864344,17.884
17.862396,17.881
17.861437,17.877
17.859476,17.872
17.85753,17.867
17.855583,17.862
17.853638,17.857
17.85169,17.852
17.849745,17.847
17.8478,17.842
17.845852,17.837
17.84489,17.832
17.842932,17.827
17.84197,17.822
17.840014,17.817
17.839052,17.812
17.837093,17.807
17.836132,17.802
17.834173,17.797
17.832228,17.792
17.831266,17.787
17.829308,17.782
17.828346,17.777
17.82639,17.77
17.824444,17.764
17.82348,17.757
17.821524,17.751
17.820562,17.744
17.818604,17.738
17.817642,17.731
17.815685,17.724
17.814724,17.718
17.812765,17.711
17.81082,17.705
17.809858,17.698
17.807901,17.692
17.805956,17.685
17.804993,17.679
17.803036,17.672
17.80109,17.666
17.799145,17.659
17.7972,17.653
17.795252,17.646
17.793306,17.645
17.79136,17.644
17.789415,17.643
17.78747,17.642
17.785524,17.64
17.783577,17.639
17.782616,17.638
17.780659,17.637
17.778713,17.636
17.776768,17.634
17.775805,17.633
17.77385,17.632
17.771904,17.631
17.769958,17.63
17.768013,17.629
17.766068,17.627
17.764122,17.626
17.762177,17.625
17.760231,17.624
17.758286,17.623
17.755358,17.623
17.753422,17.623
17.751476,17.624
17.74855,17.624
17.746613,17.624
17.743687,17.624
17.740768,17.625
17.738832,17.625
17.735907,17.625
17.732988,17.626
17.730072,17.626
17.727154,17.626
17.724236,17.627
17.72132,17.627
17.717422,17.627
17.714512,17.627
17.711596,17.628
17.707699,17.628
17.704788,17.628
17.700891,17.629
17.697983,17.625
17.694086,17.622
17.691175,17.618
17.68728,17.615
17.68437,17.612
17.680475,17.608
17.676588,17.605
17.673677,17.601
17.669783,17.598
17.665895,17.595
17.662006,17.591
17.65812,17.588
17.65423,17.584
17.650343,17.581
17.646456,17.577
17.643543,17.574
17.639652,17.571
17.635765,17.567
17.630903,17.564
17.62702,17.56
17.62313,17.56
17.619246,17.559
17.615358,17.558
17.611471,17.557
17.607584,17.556
17.603699,17.556
17.599812,17.555
17.595926,17.554
17.59204,17.553
17.588154,17.552
17.58524,17.552
17.581352,17.551
17.577469,17.55
17.574554,17.549
17.570667,17.548
17.567755,17.547
17.56387,17.547
17.559984,17.546
17.55707,17.545
17.554155,17.544
17.55124,17.54
17.547358,17.535
17.544443,17.531
17.541529,17.526
17.538616,17.522
17.535702,17.517
17.53182,17.513
17.529875,17.509
17.526962,17.504
17.52405,17.5
17.521137,17.495
17.518223,17.491
17.51531,17.486
17.512398,17.482
17.509485,17.477
17.506573,17.473
17.50366,17.468
17.500748,17.464
17.4988,17.459
17.495892,17.455
17.492981,17.454
17.491034,17.452
17.488127,17.451
17.485216,17.45
17.483269,17.448
17.481325,17.447
17.47842,17.446
17.476473,17.444
17.473566,17.443
17.47162,17.442
17.468714,17.441
17.466766,17.439
17.463861,17.438
17.461914,17.437
17.45901,17.435
17.457062,17.434
17.45512,17.433
17.453178,17.431
17.450275,17.43
17.448328,17.429
17.446384,17.425
17.444445,17.422
17.442503,17.418
17.440563,17.414
17.438622,17.411
17.436682,17.407
17.434742,17.403
17.4328,17.4
17.43182,17.396
17.429888,17.392
17.42891,17.389
17.426977,17.385
17.425999,17.381
17.425028,17.378
17.423096,17.374
17.422117,17.37
17.421146,17.367
17.419216,17.363
17.418236,17.359
17.417265,17.356
17.415335,17.354
17.414356,17.352
17.413383,17.35
17.412415,17.348
17.411444,17.346
17.410473,17.344
17.409504,17.342
17.408533,17.34
17.407564,17.338
17.406593,17.336
17.405622,17.334
17.404654,17.331
17.403683,17.329
17.401754,17.327
17.400774,17.325
17.399803,17.323
17.398832,17.321
17.396904,17.319
17.395924,17.317
17.394953,17.315
17.393982,17.307
17.392056,17.299
17.391075,17.291
17.390102,17.283
17.388176,17.275
17.386238,17.266
17.385254,17.258
17.383326,17.25
17.382345,17.242
17.380417,17.234
17.378479,17.226
17.37654,17.217
17.374601,17.209
17.372662,17.201
17.371677,17.193
17.369751,17.185
17.367813,17.177
17.365873,17.169
17.36489,17.16
17.362963,17.152
17.361025,17.147
17.36004,17.141
17.358114,17.136
17.357132,17.131
17.35616,17.125
17.35519,17.12
17.354221,17.114
17.35325,17.109
17.352282,17.103
17.352266,17.098
17.35131,17.093
17.350342,17.087
17.350327,17.082
17.349371,17.076
17.348404,17.071
17.348387,17.065
17.347433,17.06
17.346464,17.054
17.345495,17.049
17.345478,17.044
17.344524,17.04
17.343555,17.035
17.342587,17.031
17.341618,17.027
17.3416,17.023
17.340645,17.019
17.339678,17.015
17.33966,17.011
17.338707,17.007
17.33774,17.003
17.33677,16.999
17.3358,16.995
17.334831,16.991
17.333862,16.987
17.332891,16.983
17.331923,16.979
17.330954,16.975
17.329985,16.971
17.329014,16.967
17.328997,16.963
17.328043,16.961
17.327076,16.96
17.325155,16.959
17.32417,16.957
17.323198,16.956
17.32223,16.954
17.32126,16.953
17.320292,16.952
17.319323,16.95
17.318352,16.949
17.317383,16.947
17.315464,16.946
17.314478,16.945
17.313507,16.943
17.312538,16.942
17.31157,16.94
17.310598,16.939
17.30868,16.938
17.307693,16.936
17.306723,16.935
17.304804,16.93
17.303818,16.925
17.302847,16.92
17.300928,16.915
17.299942,16.911
17.29897,16.906
17.297052,16.901
17.296064,16.896
17.295094,16.891
17.293177,16.886
17.292189,16.882
17.291218,16.877
17.2893,16.872
17.288315,16.867
17.287342,16.862
17.286373,16.857
17.285404,16.853
17.284435,16.848
17.28252,16.843
17.281532,16.838
17.280561,16.836
17.278645,16.835
17.277657,16.833
17.276686,16.832
17.275717,16.83
17.274748,16.828
17.273779,16.827
17.27281,16.825
17.271841,16.824
17.270872,16.822
17.269905,16.82
17.268936,16.819
17.267967,16.817
17.266998,16.816
17.26603,16.814
17.264116,16.813
17.263126,16.811
17.262156,16.809
17.261187,16.808
17.260218,16.806
17.259249,16.808
17.25828,16.81
17.257313,16.812
17.256344,16.813
17.255375,16.815
17.25535,16.817
17.254404,16.819
17.253437,16.821
17.25247,16.823
17.252445,16.824
17.2515,16.826
17.251476,16.828
17.25053,16.83
17.249563,16.832
17.248596,16.833
17.247627,16.835
17.246658,16.837
17.24569,16.839
17.243778,16.841
17.242788,16.843
17.241817,16.842
17.239904,16.842
17.238914,16.841
17.237944,16.841
17.236975,16.84
17.235064,16.84
17.234072,16.839
17.2331,16.839
17.233076,16.838
17.23213,16.838
17.231165,16.837
17.230196,16.837
17.230171,16.836
17.229225,16.836
17.229202,16.836
17.228258,16.835
17.228233,16.835
17.22729,16.834
17.226324,16.834
17.225355,16.833
17.224388,16.832
17.224361,16.83
17.223417,16.828
17.22245,16.827
17.221483,16.825
17.220514,16.823
17.219547,16.822
17.219519,16.82
17.218576,16.819
17.217611,16.817
17.216642,16.815
17.216616,16.814
17.215672,16.812
17.215647,16.811
17.214703,16.809
17.214678,16.807
17.213736,16.806
17.21371,16.804
17.213707,16.802
17.212767,16.801
17.212742,16.801
17.21274,16.801
17.2118,16.801
17.211775,16.801
17.211771,16.801
17.21083,16.802
17.210806,16.802
17.210804,16.802
17.210802,16.802
17.210802,16.802
17.211742,16.802
17.21177,16.802
17.211771,16.802
17.211771,16.802
17.212711,16.803
17.212736,16.803
17.21274,16.803
17.21274,16.803
17.21368,16.803
17.213705,16.803
17.213707,16.803
17.213707,16.802
17.214647,16.802
17.214672,16.801
17.214676,16.801
17.215616,16.8
17.215641,16.8
17.216583,16.799
17.21661,16.799
17.217552,16.798
17.217577,16.798
17.218521,16.797
17.219486,16.797
17.220455,16.796
17.221422,16.796
17.222391,16.795
17.22336,16.795
17.223387,16.795
17.22433,16.794
17.225296,16.794
17.226265,16.796
17.227234,16.799
17.2282,16.802
17.22917,16.805
17.229197,16.807
17.23014,16.81
17.231108,16.813
17.232075,16.815
17.233044,16.818
17.234013,16.821
17.234982,16.824
17.235949,16.826
17.236917,16.829
17.237886,16.832
17.238855,16.835
17.239824,16.837
17.240791,16.84
17.24176,16.843
17.24273,16.846
17.243698,16.848
17.244667,16.851
17.245636,16.854
17.246603,16.857
17.246628,16.86
17.247574,16.862
17.24854,16.865
17.248566,16.868
17.249512,16.871
17.249535,16.874
17.249537,16.876
17.25048,16.879
17.250504,16.882
17.250505,16.885
17.250505,16.888
17.250505,16.89
17.25145,16.893
17.25147,16.896
17.251474,16.899
17.251474,16.902
17.251474,16.905
17.251474,16.906
17.251474,16.907
17.252419,16.908
17.25244,16.909
17.252443,16.911
17.253387,16.912
17.253408,16.913
17.25341,16.914
17.25341,16.915
17.25341,16.917
17.254356,16.918
17.254377,16.919
17.25438,16.92
17.25438,16.921
17.25438,16.923
17.255323,16.924
17.255346,16.925
17.255348,16.926
17.255348,16.927
17.255348,16.929
17.255348,16.93
17.255348,16.931
17.255348,16.933
17.254404,16.934
17.254383,16.936
17.25438,16.937
17.25438,16.939
17.25438,16.94
17.25438,16.941
17.25438,16.943
17.25438,16.944
17.25438,16.946
17.255323,16.947
17.255346,16.948
17.255348,16.95
17.255348,16.951
17.256292,16.953
17.256315,16.954
17.256317,16.955
17.256317,16.957
17.256317,16.962
17.257261,16.968
17.257282,16.974
17.257286,16.979
17.257286,16.985
17.257286,16.99
17.25823,16.996
17.258251,17.002
17.258255,17.007
17.258255,17.013
17.2592,17.018
17.25922,17.024
17.259222,17.03
17.260168,17.035
17.26019,17.041
17.261137,17.046
17.262104,17.052
17.262127,17.058
17.263075,17.063
17.26404,17.069
17.264065,17.073
17.265013,17.077
17.265978,17.081
17.266947,17.085
17.267916,17.089
17.268885,17.093
17.269854,17.097
17.270823,17.102
17.272738,17.106
17.273727,17.11
17.274698,17.114
17.275667,17.118
17.277582,17.122
17.278572,17.126
17.279543,17.13
17.279566,17.134
17.280514,17.138
17.28148,17.142
17.283398,17.146
17.284386,17.151
17.285357,17.152
17.286325,17.154
17.287296,17.155
17.288265,17.157
17.289234,17.158
17.290203,17.16
17.291172,17.162
17.292141,17.163
17.29311,17.165
17.294079,17.166
17.295998,17.168
17.296984,17.17
17.297956,17.171
17.299873,17.173
17.301811,17.174
17.30375,17.176
17.304739,17.178
17.30666,17.179
17.309546,17.181
17.311502,17.182
17.313442,17.186
17.315382,17.189
17.31732,17.193
17.32021,17.196
17.322166,17.2
17.325058,17.203
17.327015,17.206
17.329906,17.21
17.331861,17.213
17.334755,17.217
17.33671,17.22
17.339603,17.224
17.342512,17.227
17.34542,17.231
17.348331,17.234
17.35124,17.238
17.355104,17.241
17.358028,17.244
17.360939,17.248
17.36385,17.251
17.367716,17.255
17.371593,17.258
17.37452,17.262
17.378387,17.265
17.38131,17.269
17.38518,17.272
17.38906,17.275
17.39294,17.279
17.395864,17.282
17.399734,17.286
17.403614,17.289
17.407497,17.293
17.411379,17.296
17.41526,17.3
17.420103,17.303
17.423996,17.307
17.42788,17.31
17.432722,17.313
17.436615,17.317
17.440498,17.32
17.444382,17.323
17.448265,17.326
17.453112,17.329
17.457003,17.332
17.460888,17.335
17.464771,17.338
17.46962,17.34
17.473509,17.343
17.477396,17.346
17.48128,17.349
17.48613,17.352
17.490019,17.355
17.493906,17.358
17.49779,17.36
17.502642,17.363
17.50653,17.366
17.510418,17.369
17.514303,17.372
17.519156,17.375
17.523045,17.378
17.526932,17.382
17.530817,17.387
17.534704,17.391
17.53859,17.396
17.542477,17.4
17.546364,17.405
17.55025,17.409
17.554136,17.414
17.558023,17.418
17.56094,17.423
17.564827,17.427
17.568712,17.432
17.5726,17.437
17.57746,17.441
17.581347,17.446
17.585234,17.45
17.589123,17.455
17.59301,17.459
17.596899,17.464
17.601759,17.468
17.605646,17.475
17.609535,17.482
17.614397,17.489
17.618282,17.496
17.623146,17.503
17.627033,17.509
17.630922,17.516
17.635786,17.523
17.639671,17.53
17.643562,17.537
17.647451,17.544
17.65134,17.551
17.65523,17.557
17.659119,17.564
17.66301,17.571
17.666899,17.578
17.67079,17.585
17.675655,17.592
17.67954,17.598
17.683432,17.605
17.687323,17.609
17.691212,17.613
17.695103,17.617
17.698994,17.621
17.702885,17.625
17.705795,17.629
17.709694,17.633
17.713583,17.637
17.717474,17.64
17.720387,17.644
17.724285,17.648
17.727196,17.652
17.731094,17.656
17.734005,17.66
